Comment,Sentiment
0% nudity <br>0% twerking <br>50% infinite ammo <br>50% aimbot,0.0
"This song is still amazing after so many years<br>Trippie Redd be straight slayin&#39; the game, no doubt! <b>AUTHENTIC VIEWS</b> gave him a boost, but his raw talent remains unchanged. He&#39;s holdin&#39; it down like a true boss! Drop a thumbs up if you&#39;re vibin&#39; with it, fam!",0.13722145909645908
"this song won&#39;t get old, I put it in repeatedly and not getting tired of it still",-0.15000000000000002
This song will never age.  A timeless classic until the end of time,0.16666666666666666
this song will never get old,0.1
Not only is this song a vibe but the music video is great,0.4
This song makes me want to walk up the stairs after turning the lights off,0.0
5years and still hits hard,-0.2916666666666667
This is quietly one of the best songs of the 2010s. Trippie and Trav what a duo,0.5
"lowkey, this is one of the most underrated duos man. 5 years later and this shit still slaps, they could&#39;ve really done some shit if they worked together more",0.13333333333333333
I remember the good old days when me and my friends would listen to this at night vibin.😞 Good old 2018,0.4
"Sou brasileiro e escuto o trippie desde quando ele lançou essa música com o Travis, desde lá acompanho até hoje 🇧🇷",0.0
I love trippier and it&#39;s too bad that his style doesn&#39;t exist anymore I&#39;m from Brazil but this is perfect and better than many styles of music out there,0.36000000000000004
This song/video is still amazing after so many years 👌🏾,0.55
"Es una locura de video, muy buena producción, qué peliculón me acabo de ver. 👏🏻<br>Y el rapeo de Trippie es tan pegajozo, la entrada de Travis es lo mejor, por el cambio en la pista. 🔥",0.0
I&#39;m addicted to this song,-0.4
4 años y aún no la superó se que este estilo de trippie ya nunca regresara:(,-0.75
"What a beautiful song😢❤ and amazing visuals too🔥<br>Trippie dun went in HAM on this right here, straight up BANGAAA! Even Tho  Trippie dun used <b>AUTHENTICVIEWS</b> dawwt cawwwm to glow up out of CHIRAQ it dont change the fact that he is a mad talented artist",0.343452380952381
This song will never stop being good,0.7
No dejen que este temazo muera,0.0
Nada melhor que relembra as antiga nessa época a cena barulhava de verdade pra valer!! bons tempo slk essa do trippie junto com travis arrepia até hj tlg  🇧🇷🔥🔥🤘,0.0
This one of the songs that never gets old,0.1
Trippie Redd: Achievement Unlocked<br>Count My Guap <br><br>Travis Scott: Achievement Unlocked<br>Straight Up,0.0
"this song is fucking legendary, been on repeat for the past 30 minutes and i still haven’t got tired of it",0.11666666666666665
Trippie Redd is just great this was one of my favorite songs when this came out he showed those zombies whose boss 🙌 👏 👌 😎 😍 🔥,0.65
This song still goes HARD 🔥🔥🔥🔥🔥🔥🔥🔥,-0.2916666666666667
feels like people dont make music that hits like this anymore,0.0
TODO ANO ESTOU AQUI OUVINDO ESSA OBRA DE ARTE. MAIS ALGUÉM? <br>🔥♥️🇧🇷,0.0
"Trippie Redd :&quot;I don&#39;t know what planet I&#39;m on&quot;<br>Travis Scott : &quot;Astroworld, my planet, my home&quot;",0.0
There aren&#39;t many songs as hard and lit as this one right here. Timeless banger 🔥🔥🔥🔥🔥🔥🔥,0.16468253968253968
This has always been a banger since it was released 🤘🏼,0.0
"I&#39;ll never forget the nights my big sister and I used to speed down the highway at 3am with nowhere to go, blasting this song and turning up. It was a vibe. RIP sis. I miss you!",-0.09722222222222224
Foda demais!! 🇧🇷🇧🇷❤️,0.0
This song feels like it&#39;s been out for ever,0.0
2021: Still a vibe I can’t catch anywhere else.,0.0
"5 years and this shit still goes hard,keep headbangin ❤",-0.2
"He&#39;s amazing for music videos, he has the presence and the show persona. If he did something more eclectic video-wise that wasn&#39;t as hardcore it would have been just as hard. I think he should do a secondary visualizer video thatz trippier. (pun intended)",0.12708333333333333
Me orgulho de dizer que sou um brasileiro das antigas...,0.0
5 years later this shit still hits,-0.1
THIS SONG NEVER GET OLD 🔥🔥🔥🔥,0.1
now 5 years is passed and still a banger,0.0
2022: Still something I come back to frequently and sing along with at the top of my lungs.,0.19999999999999998
They really put work in it this song is amazing play it back to back,0.2
"this piece has travis Scott&#39;s artistic and audio footprint written all over it...meanwhile, that hook from trippie is a killer 🔥....trap masterpiece here!",0.41666666666666663
wish there was more trippie songs like this,0.5
Legendary song still hits from 4 years ago,1.0
The day this video was released was the day my daughter was born. I’ll never forget it. Now we sing to it! This song and “Clover Cage - Colorblind With A Beautiful Mind” are the two songs that helped get rid of my depression. I just want to send love to everyone and I want everyone to know things will get better. We are in this together..I love you,0.5875
Legends say trippie redd still doesn’t know what planet he’s on,0.0
this banger never gets old🙂🙂🙂,0.0
We need way more Travis &amp; Trippie collabs,0.5
When u feel it in your soul you knw it’s gold,0.0
Song still hits til this day,0.0
4 years and this song still hits,0.0
0% twerking womans <br>100%aimbot,0.0
