Comment,Sentiment
Amazing....the best stand up comedian I have ever known....<br>My stomach is a wreck now....after all those pangs of laughter 😂😂😂,1.0
"Awesome, perfect masterpiece and what an end bassiji🙏",1.0
all time fav ❤ you are just awesome bassi sir,1.0
Just love this guy !!!!,1.0
Best 37 mins of my life😂❤,1.0
Bassi bro You are the legend of comedy. this show was superb. You made my day 🤩,1.0
Best 37 minutes!! Thank you Bassi,1.0
Bassiiiiii is just awesome.......❣️<br>Really the best stressbuster😂,1.0
Baasi bhai one of the greatest stand up comedy all time.👌,1.0
Best show i have ever seen ... What a performance 👍❤️,1.0
this is the best standup comedy I&#39;ve seen in a while!😂❤,1.0
The best 37 minutes ever 😊,1.0
This is the best show I have ever seen in stand up comedy❤,1.0
The best 37 minutes of the day.. 🤣🤣,1.0
What a sense of humar ...one of the best comedy i ever seen,1.0
The best ever stand up bassi u always rock❤❤❤❤,1.0
Best stand-up till now❤❤❤😂😂😂,1.0
It feels like Bassi was born to be a standup comedian.<br>What a content man. Best in the world.🔥❤🙏,1.0
anubhav singh bassi ka anubhav hamesha majedar hota hai 😄. best 37 minute of my life,1.0
Wonderful performance 👏 ❤️,1.0
"Everything was perfectly synced.... Relived the days of Mukherjee Nagar, and ORN.. ❤❤",1.0
Bhai bassi 37 minute unstoppable.....maja aa gaya 😂😂 mukharji nagar ke shikar hum bhi hai... relate karna aur hansna band hi nahi hua 37 minute tak... your grip on storymaking is just awesome,1.0
Sir simply awesome 😂😂😂,1.0
The best stand up comedy show ever I have seen in my life 🤣,1.0
You are too good. Non stop!! 😂😂😂,1.0
Best 37 minutes of my life😂💯,1.0
Best comedy ever officer 😂😍,1.0
You should start your show like Kapil Sharma.. you are awesome bro.. Keep spreading laughter😂😂😂,1.0
One of the best show officer😂,1.0
No ONE CAN BEST him in storytelling❤❤❤❤❤😂😂😂😂😂,1.0
Perfect laughter 😂😂😂😂❤,1.0
Awesome 💯💯,1.0
Isse jyada best stand-up kr hi nhi skta koi 😂,1.0
Bassi you are the best comedian ❤❤❤no  one can beat you,1.0
Awesome talent,1.0
I am watching this video as it’s a routine ❤️‍🔥❤️‍🔥 you are the best 🫶🏻 and this is your besssttttt🔥🔥😂😂,1.0
Best Stand up ever ❤‍🔥❤‍🔥❤‍🔥,1.0
"😂😂😂😂😂 awesome 👌 👏,  aisa show aur chahiye sir ji",1.0
He is the best in the league. It would be 50 Million soon🎉,1.0
Best Story Teller...ever,1.0
Best yr I can&#39;t Stop laughing 🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣,1.0
this is the best one ❤,1.0
Best comedy content ever❤,1.0
OMFG this was one of the best  stand-up comedy I have ever seen from someone! 😂😆🤣<br>37 mins kis taraf se gujar gya pata hi nehi chala vai...🫣🫡🫠,1.0
Superb bassi🔥🔥🔥,1.0
This one is the best of the lot. Bassi ji aapka comedy best hai. 😂😂😂😂😂,1.0
the best standup comedy video i have seen.,1.0
All time you are the best bassi bhaiya❤❤,1.0
Best 37 mins ever 😂😂😂😂,1.0
Just awesome ❤,1.0
Best 37 laughter minutes.😂😂,1.0
"&#39;Kaha ja ra hai,kiu&#39;is the best part 😂",1.0
The Best Standup comedy act I have watched till date🙌🫡👏❤️,1.0
Best standup ever...,1.0
Best comedian yaar ❤❤,1.0
Awesome ❤️,1.0
Awesome ❤❤❤,1.0
You are best comedian❤❤❤❤,1.0
Bassi&#39;s best video 😂😂,1.0
"<a href=""https://www.youtube.com/watch?v=IEfBBYmxtIo&amp;t=27m08s"">27:08</a> best part 😂😂😂",1.0
Best show ever🙌🙌🙌,1.0
Bassi is the BEST 😂❤,1.0
The best ever ❤🎉,1.0
